sample,adc,filtered,lead_off
892,4298,135.25,0
893,4378,87.44,0
894,5174,33.14,0
895,6331,-12.92,0
896,7183,-37.04,0
897,7272,-32.16,0
898,6558,-1.02,0
899,5441,44.55,0
900,4547,88.52,0
901,4336,117.66,0
902,4901,127.07,0
903,5986,121.16,0
904,6974,109.93,0
905,7331,103.17,0
906,6855,105.53,0
907,5821,114.62,0
908,4817,123.13,0
909,4405,124.07,0
910,4795,116.01,0
911,5823,105.06,0
912,6950,102.21,0
913,7574,117.62,0
914,7346,155.04,0
915,6422,209.08,0
916,5280,266.75,0
917,4549,312.90,0
918,4602,336.67,0
919,5374,335.71,0
920,6497,316.03,0
921,7300,288.01,0
922,7350,261.19,0
923,6617,240.03,0
924,5499,222.94,0
925,4604,204.71,0
926,4436,181.15,0
927,5055,152.98,0
928,6170,126.49,0
929,7163,110.58,0
930,7510,111.98,0
931,7039,131.38,0
932,5999,162.55,0
933,4972,195.11,0
934,4541,219.39,0
935,4935,231.05,0
936,5973,233.06,0
937,7077,233.94,0
938,7668,242.95,0
939,7401,264.83,0
940,6426,296.62,0
941,5261,328.48,0
942,4531,348.13,0
943,4593,346.74,0
944,5382,323.04,0
945,6480,283.22,0
946,7220,237.17,0
947,7192,193.14,0
948,6367,153.69,0
949,5189,114.90,0
950,4313,69.68,0
951,4176,13.36,0
952,4809,-51.67,0
953,5930,-115.76,0
954,6909,-166.30,0
955,7198,-193.73,0
956,6646,-196.17,0
957,5551,-180.61,0
958,4511,-159.88,0
959,4036,-146.82,0
960,4355,-148.98,0
961,5261,-166.77,0
962,6289,-195.71,0
963,6801,-230.39,0
964,6518,-267.60,0
965,5598,-307.45,0
966,4570,-351.73,0
967,3996,-400.27,0
968,4195,-447.75,0
969,5066,-483.59,0
970,6183,-495.87,0
971,6904,-477.30,0
972,6835,-429.92,0
973,5989,-366.22,0
974,4801,-305.75,0
975,3949,-268.23,0
976,3839,-265.70,0
977,4529,-297.42,0
978,5696,-350.39,0
979,6707,-404.93,0
980,7012,-442.48,0
981,6467,-452.24,0
982,5369,-434.33,0
983,4353,-398.20,0
984,3911,-357.26,0
985,4276,-322.82,0
986,5209,-300.72,0
987,6231,-291.75,0
988,6730,-294.40,0
989,6431,-307.46,0
990,5523,-330.95,0
991,4545,-364.74,0
992,4046,-405.39,0
993,4317,-443.66,0
994,5245,-465.43,0
995,6399,-456.53,0
996,7136,-409.18,0
997,7049,-326.48,0
998,6168,-223.21,0
999,4953,-122.19,0
1000,4118,-47.15,0
1001,3937,-14.28,0
1002,4560,-26.93,0
1003,5615,-76.17,0
1004,6511,-146.22,0
1005,6711,-221.15,0
1006,6105,-290.19,0
1007,5026,-349.73,0
1008,4115,-401.37,0
1009,3832,-446.95,0
1010,4334,-484.09,0
1011,5415,-505.57,0
1012,6525,-502.80,0
1013,7052,-470.76,0
1014,6704,-411.59,0
1015,5704,-335.58,0
1016,4597,-258.57,0
1017,3991,-196.49,0
1018,4193,-159.19,0
1019,5073,-147.11,0
1020,6221,-152.46,0
1021,6949,-163.87,0
1022,6875,-171.83,0
