sample,adc,filtered,lead_off
1011,5957,346.31,0
1012,5989,347.33,0
1013,6031,351.35,0
1014,6073,359.53,0
1015,6099,371.91,0
1016,6088,386.99,0
1017,6053,402.16,0
1018,6010,414.50,0
1019,5987,421.80,0
1020,6000,423.34,0
1021,6043,420.16,0
1022,6097,414.60,0
1023,6149,409.45,0
1024,6144,406.91,0
1025,6116,407.86,0
1026,6073,411.62,0
1027,6038,416.44,0
1028,6036,420.49,0
1029,6062,422.70,0
1030,6109,423.03,0
1031,6141,422.18,0
1032,6162,420.93,0
1033,6147,419.65,0
1034,6109,418.20,0
1035,6071,416.23,0
1036,6059,413.50,0
1037,6076,410.20,0
1038,6119,406.98,0
1039,6161,404.69,0
1040,6174,403.89,0
1041,6149,404.34,0
1042,6098,404.85,0
1043,6046,403.61,0
1044,6001,398.88,0
1045,5975,389.75,0
1046,5976,376.18,0
1047,5985,358.72,0
1048,5980,337.96,0
1049,5942,314.18,0
1050,5877,287.21,0
1051,5803,256.68,0
1052,5742,222.42,0
1053,5707,184.97,0
1054,5700,145.70,0
1055,5708,106.46,0
1056,5708,68.92,0
1057,5680,33.97,0
1058,5621,1.38,0
1059,5539,-30.01,0
1060,5468,-61.73,0
1061,5424,-95.03,0
1062,5417,-130.17,0
1063,5432,-166.33,0
1064,5452,-201.91,0
1065,5454,-235.20,0
1066,5421,-265.04,0
1067,5363,-291.13,0
1068,5315,-313.93,0
1069,5294,-334.17,0
1070,5298,-352.14,0
1071,5331,-367.43,0
1072,5373,-379.15,0
1073,5398,-386.59,0
1074,5394,-389.68,0
1075,5359,-389.22,0
1076,5317,-386.64,0
1077,5287,-383.49,0
1078,5289,-380.83,0
1079,5325,-378.90,0
1080,5375,-377.08,0
1081,5410,-374.34,0
1082,5420,-369.88,0
1083,5396,-363.58,0
1084,5356,-356.10,0
1085,5322,-348.54,0
1086,5320,-341.81,0
1087,5346,-336.21,0
1088,5397,-331.22,0
1089,5440,-325.86,0
1090,5459,-319.23,0
1091,5440,-311.08,0
1092,5399,-301.98,0
1093,5362,-293.12,0
1094,5359,-285.68,0
1095,5375,-280.05,0
1096,5423,-275.64,0
1097,5468,-271.16,0
1098,5506,-265.34,0
1099,5499,-257.52,0
1100,5468,-247.92,0
1101,5433,-237.50,0
1102,5414,-227.44,0
1103,5417,-218.56,0
1104,5452,-210.93,0
1105,5504,-204.05,0
1106,5543,-197.19,0
1107,5554,-189.80,0
1108,5534,-181.73,0
1109,5491,-173.35,0
1110,5460,-165.30,0
1111,5455,-158.15,0
1112,5478,-152.10,0
1113,5527,-146.86,0
1114,5576,-141.83,0
1115,5601,-136.38,0
1116,5581,-130.14,0
1117,5535,-123.21,0
1118,5484,-116.28,0
1119,5452,-110.42,0
1120,5450,-106.65,0
1121,5486,-105.61,0
1122,5526,-107.35,0
1123,5550,-111.33,0
1124,5548,-116.68,0
1125,5518,-122.48,0
1126,5478,-127.93,0
1127,5450,-132.38,0
1128,5451,-135.28,0
1129,5475,-136.25,0
1130,5515,-135.16,0
1131,5547,-132.33,0
1132,5547,-128.45,0
1133,5519,-124.56,0
1134,5475,-121.69,0
1135,5440,-120.61,0
1136,5431,-121.51,0
1137,5450,-123.88,0
1138,5488,-126.77,0
1139,5515,-129.19,0
1140,5521,-130.62,0
1141,5489,-131.28,0
1142,5434,-132.10,0
1143,5380,-134.29,0
1144,5354,-138.92,0
1145,5362,-146.34,0
1146,5401,-156.02,0
1147,5445,-166.64,0
1148,5467,-176.57,0
1149,5449,-184.46,0
1150,5404,-189.78,0
1151,5358,-192.92,0
1152,5324,-194.85,0
1153,5318,-196.56,0
1154,5344,-198.63,0
1155,5384,-201.22,0
1156,5407,-204.17,0
1157,5402,-207.31,0
1158,5367,-210.63,0
1159,5322,-214.39,0
1160,5289,-218.80,0
1161,5275,-223.79,0
1162,5297,-228.84,0
1163,5340,-233.21,0
1164,5372,-236.18,0
1165,5368,-237.44,0
1166,5336,-237.33,0
1167,5292,-236.90,0
1168,5247,-237.42,0
1169,5230,-239.77,0
